"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	16	2377019	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	20	2377019	0.8
	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	163	2377019	6.9
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	66	2394495	2.8
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	13	2394495	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	25	2394495	1.0
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	14	2394495	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	17	2394495	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	23	2394495	1.0
	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	187	2394495	7.8
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	60	2407688	2.5
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	17	2407688	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	26	2407688	1.1
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	18	2407688	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	21	2407688	0.9
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	19	2407688	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"External causes of morbidity and mortality"	"V01-Y89"	"Black or African American"	"2054-5"	10	176775	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	215	2407688	8.9
	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	41	1326808	3.1
	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	13	1326808	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	25	1326808	1.9
	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	15	1326808	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	10	1326808	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	272	1326808	20.5
	"15-19 years"	"15-19"	"Female"	"F"	"2000"	"2000"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	49	1367031	3.6
	"15-19 years"	"15-19"	"Female"	"F"	"2000"	"2000"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	10	1367031	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	19	1367031	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2000"	"2000"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	19	1367031	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	269	1367031	19.7
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	50	1413962	3.5
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	25	1413962	1.8
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"White"	"2106-3"	11	1413962	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	15	1413962	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	16	1413962	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	283	1413962	20.0
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	12	1450381	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	41	1450381	2.8
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"White"	"2106-3"	10	1450381	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	11	1450381	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	21	1450381	1.4
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"White"	"2106-3"	11	1450381	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	14	1450381	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	13	1450381	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	292	1450381	20.1
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	10	1493273	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	33	1493273	2.2
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	23	1493273	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	23	1493273	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	14	1493273	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"White"	"2106-3"	11	1493273	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	10	1493273	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	15	1493273	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	328	1493273	22.0
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	11	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	43	1545355	2.8
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	16	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	15	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	10	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"White"	"2106-3"	11	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	11	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	12	1545355	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	306	1545355	19.8
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	10	1616982	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	54	1616982	3.3
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	12	1616982	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	24	1616982	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	22	1616982	1.4
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"White"	"2106-3"	11	1616982	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	15	1616982	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	11	1616982	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	354	1616982	21.9
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	14	1692995	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	55	1692995	3.2
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	16	1692995	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	21	1692995	1.2
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	10	1692995	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	13	1692995	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	334	1692995	19.7
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	10	1769755	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	54	1769755	3.1
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	10	1769755	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	17	1769755	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	28	1769755	1.6
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	11	1769755	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	305	1769755	17.2
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	11	1840649	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	65	1840649	3.5
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	21	1840649	1.1
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	20	1840649	1.1
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	14	1840649	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	11	1840649	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	12	1840649	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	"Black or African American"	"2054-5"	10	114265	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	288	1840649	15.6
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	10	1905034	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	61	1905034	3.2
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	16	1905034	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	21	1905034	1.1
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	20	1905034	1.0
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	28	1905034	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"White"	"2106-3"	12	1905034	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	14	1905034	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	"Black or African American"	"2054-5"	12	121891	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	307	1905034	16.1
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	41	1940189	2.1
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	13	1940189	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	18	1940189	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	14	1940189	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	12	1940189	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	291	1940189	15.0
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	71	1969113	3.6
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	25	1969113	1.3
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	26	1969113	1.3
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	12	1969113	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	10	1969113	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	236	1969113	12.0
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	59	1975126	3.0
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	10	1975126	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	15	1975126	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	15	1975126	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	14	1975126	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	281	1975126	14.2
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	52	1987060	2.6
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	20	1987060	1.0
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	23	1987060	1.2
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	13	1987060	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	15	1987060	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	12	1987060	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	268	1987060	13.5
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	51	2014869	2.5
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	25	2014869	1.2
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	24	2014869	1.2
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	11	2014869	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	18	2014869	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	"Black or African American"	"2054-5"	12	127697	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	275	2014869	13.6
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	61	2048677	3.0
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	12	2048677	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	30	2048677	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	30	2048677	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	14	2048677	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	12	2048677	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	307	2048677	15.0
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	10	2083802	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	50	2083802	2.4
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	16	2083802	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	17	2083802	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	19	2083802	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	17	2083802	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	"Black or African American"	"2054-5"	13	134842	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	372	2083802	17.9
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	10	2131299	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	69	2131299	3.2
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	11	2131299	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	15	2131299	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	20	2131299	0.9
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	19	2131299	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	16	2131299	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	14	2131299	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	"Black or African American"	"2054-5"	14	138700	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	403	2131299	18.9
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	57	2167523	2.6
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	17	2167523	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	16	2167523	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	24	2167523	1.1
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	16	2167523	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	12	2167523	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"White"	"2106-3"	13	2167523	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	11	2167523	Unreliable
